U+2248	≈	~~	ALMOST EQUAL TO
U+2260	≠	/=	NOT EQUAL TO
U+2261	≡	=_	IDENTICAL TO
U+2262	≢		NOT IDENTICAL TO
U+2264	≤	<=	LESS-THAN OR EQUAL TO
U+2265	≥	>=	GREATER-THAN OR EQUAL TO
U+2282	⊂	( 	SUBSET OF
U+2283	⊃	) 	SUPERSET OF
U+2284	⊄	/(	NOT A SUBSET OF
U+2285	⊅	/)	NOT A SUPERSET OF
U+2286	⊆	(=	SUBSET OF OR EQUAL TO
U+2287	⊇	)=	SUPERSET OF OR EQUAL TO
U+2288	⊈	/=(	NEITHER A SUBSET OF NOR EQUAL TO
U+2289	⊉	/=)	NEITHER A SUPERSET OF NOR EQUAL TO
U+22A2	⊢	T>	RIGHT TACK
U+22A3	⊣	T<	LEFT TACK
U+22A4	⊤	Tv	DOWN TACK
U+22A5	⊥	T^	UP TACK
U+22A6	⊦	|-	ASSERTION
U+22A7	⊧	|:	MODELS
U+22A8	⊨	|=	TRUE
U+22C0	⋀	n/\	N-ARY LOGICAL AND
U+22C1	⋁	n\/	N-ARY LOGICAL OR
U+22C2	⋂	n@u	N-ARY INTERSECTION
U+22C3	⋃	nu	N-ARY UNION
U+00B2	²	^2	SUPERSCRIPT TWO
U+00B3	³	^3	SUPERSCRIPT THREE
U+00B9	¹	^1	SUPERSCRIPT ONE
U+00BC	¼	1/4	VULGAR FRACTION ONE QUARTER
U+00BD	½	1/2	VULGAR FRACTION ONE HALF
U+00BE	¾	3/4	VULGAR FRACTION THREE QUARTERS
U+2070	⁰	^0	SUPERSCRIPT ZERO
U+2074	⁴	^4	SUPERSCRIPT FOUR
U+2075	⁵	^5	SUPERSCRIPT FIVE
U+2076	⁶	^6	SUPERSCRIPT SIX
U+2077	⁷	^7	SUPERSCRIPT SEVEN
U+2078	⁸	^8	SUPERSCRIPT EIGHT
U+2079	⁹	^9	SUPERSCRIPT NINE
U+2080	₀	_0	SUBSCRIPT ZERO
U+2081	₁	_1	SUBSCRIPT ONE
U+2082	₂	_2	SUBSCRIPT TWO
U+2083	₃	_3	SUBSCRIPT THREE
U+2084	₄	_4	SUBSCRIPT FOUR
U+2085	₅	_5	SUBSCRIPT FIVE
U+2086	₆	_6	SUBSCRIPT SIX
U+2087	₇	_7	SUBSCRIPT SEVEN
U+2088	₈	_8	SUBSCRIPT EIGHT
U+2089	₉	_9	SUBSCRIPT NINE
U+2150	⅐	1/7	VULGAR FRACTION ONE SEVENTH
U+2151	⅑	1/9	VULGAR FRACTION ONE NINTH
U+2152	⅒	1/10	VULGAR FRACTION ONE TENTH
U+2153	⅓	1/3	VULGAR FRACTION ONE THIRD
U+2154	⅔	2/3	VULGAR FRACTION TWO THIRDS
U+2155	⅕	1/5	VULGAR FRACTION ONE FIFTH
U+2156	⅖	2/5	VULGAR FRACTION TWO FIFTHS
U+2157	⅗	3/5	VULGAR FRACTION THREE FIFTHS
U+2158	⅘	4/5	VULGAR FRACTION FOUR FIFTHS
U+2159	⅙	1/6	VULGAR FRACTION ONE SIXTH
U+215A	⅚	5/6	VULGAR FRACTION FIVE SIXTHS
U+215B	⅛	1/8	VULGAR FRACTION ONE EIGHTH
U+215C	⅜	3/8	VULGAR FRACTION THREE EIGHTHS
U+215D	⅝	5/8	VULGAR FRACTION FIVE EIGHTHS
U+215E	⅞	7/8	VULGAR FRACTION SEVEN EIGHTHS
U+00A2	¢	=c	CENT SIGN
U+00A3	£	=L	POUND SIGN
U+00A4	¤	=o	CURRENCY SIGN
U+00A5	¥	=Y	YEN SIGN
U+20AC	€	=e	EURO SIGN
U+20BF	₿	=B	BITCOIN SIGN
U+00A6	¦	|	BROKEN BAR
U+00A9	©	OC	COPYRIGHT SIGN
U+00AE	®	OR	REGISTERED SIGN
U+00B0	°	o^	DEGREE SIGN
U+2116	№	No	NUMERO SIGN
U+2122	™	TM	TRADE MARK SIGN
